event_year,event_month,topic,speaker,speaker_profile_url,category,learn_points,video_url,upload_date,duration_seconds,transcript_path
,,xargs - Nate Kettlewell,,,,,https://www.youtube.com/watch?v=2k7gAi73pwg,20140328,277,https://github.com/hakceracademy/seckc-academy-resources/tree/main/transcripts/uncategorized/2k7gAi73pwg.txt
2015,,VPN the Easy Way,Adam Smith ;) AKA Adam E. AKA twizler tw13zlr,,Security Architecture,A nifty tool to tunnel all of your network traffic via a remote SSH connection. The install is on your machine and no root access on the remote machine is required.,,,,
2015,,Kansa: Incident Response & Open Source in the belly of the best,Dave Hull,"Ashley Madison, My Space, whatever the kids are using these days.",Security Operations,"Four years ago, I left the midwest for high adventure in the Pacific Northwest; casting my lot with the developer of the world's most popular operating system, or rather a devices and services company. Wait no, make that a ""cloud first, mobile first"" company based in Redmond, WA. My gig was IR at scale -- 100s of thousands of globally distributed systems. This trolk will be an honest look at Kansa -- an open source, PowerShell-based incident response framework, developed with the goal of executing IR at scale. We'll look at some data collected and analyzed for red-team engagements and see where Kansa shines and I'll talk about where it falls down, some work-arounds and I may briefly mention commercial solutions in both positive and negative lights.",https://www.youtube.com/watch?v=cQmsT9D0kKI,20160221,2806,https://github.com/hakceracademy/seckc-academy-resources/tree/main/transcripts/Security-Operations/cQmsT9D0kKI.txt
2015,,Hacking SIEMs to Catch Hackers,Blake Bryant or,YouTube is fine,Security Operations,"Based on over two years of thesis research resulting in the implementation of a “kill chain” framework within SIEM software. A novel “kill chain” model was developed, loosely based upon the Lockheed Martin Cyber Kill-Chain, and implemented within a commercial SIEM system through modifications to the existing SIEM database. These modifications resulted in a new log ontology capable of normalizing security sensor data in accordance with modern threat research. New SIEM correlation rules were developed using the novel log ontology and compared to existing vendor recommended correlation rules using the default normalization model. The novel log ontology produced promising results indicating improved detection rates, more descriptive security alarms, a lower number of false positives, and simplified SIEM correlation rule construction. These improvements were assessed to provide improved visibility and more efficient investigation processes to security analysts resulting in a reduction in the mean time required to detect , escalate, and resolve security incidents.",https://www.youtube.com/watch?v=v8tEh-3gkxs,20150728,1077,https://github.com/hakceracademy/seckc-academy-resources/tree/main/transcripts/Security-Operations/v8tEh-3gkxs.txt
2016,,,Zach Hilbert -,Twitter: @zachhilbert,,,,,,
2016,,Hide yo kids hide yo wifi devices,Gared -,twitter - @tx149,Threat Intelligence,Quick Tool Talk about the wonderful search tool Shodan.,https://www.youtube.com/watch?v=aIKbXo-vIGk,20140601,774,https://github.com/hakceracademy/seckc-academy-resources/tree/main/transcripts/Threat-Intelligence/aIKbXo-vIGk.txt
2016,,"Something, Something, Sexual Innuendo about Analyzing Docs (TBD)",Thomas Gardner,*,Security Operations,Curious about reverse engineering but still working on your Assembly skills? Have you ever received spam or phishing emails and wanted to know how to properly examine them? Wanna know what took out the Ukrainian power grid? Look no further! We'll go over what tools to use to analyze malicious documents and how to interpret analyses already out on the web. We'll also go over pertinent indicators to share with other teams/people Targeted at those interested in Digital Forensics and Incident Response,,,,
2016,,Pay me 2 SecKCoins to unlock the title of this talk,,Docking username: @corykennedy,Security Operations,Placeholder... Technical walkthrough of how ransomware does its thing.,https://www.youtube.com/watch?v=Oj03Nzk4KiU,20160909,2014,https://github.com/hakceracademy/seckc-academy-resources/tree/main/transcripts/Security-Operations/Oj03Nzk4KiU.txt
2016,,Using SecKC's VPN (a how-to),Bill Swearingen,Tinder,Security Operations,A walk-through of how-to (and why you should) to connect and use the SecKC VPN,,,,
2016,,TAXII and OTX - Automated threat information sharing,joel kershner -,any,Threat Intelligence,"One of the key problems that the blue team faces is lack of timely coordination and communication on threats between organizations. TAXII and OTX are open and free platforms that allow automated threat sharing and dovetail into existing security sensors such as Snort,Suricata, Bro-IDS and others. Also domestic laws have changed allowing organizations to share information with less fear of potential legal liabilities.",https://www.youtube.com/watch?v=EH8eTD8yL4s,20160516,919,https://github.com/hakceracademy/seckc-academy-resources/tree/main/transcripts/Threat-Intelligence/EH8eTD8yL4s.txt
2016,,,"Kris Drent,",twitter: @kd_sec,,,,,,
2016,,,Andy Barrett (),My Twitter handle is @Br8den,,,,,,
2016,,From 0 to Ansible in 15 minutes,,https:///www.linkedin.com/in/AdamOssenford,Security Operations,"Do you have 15 minutes? Have you heard of Ansible? This talk will quickly cover the basics of Ansible configuration management system. Installation, directory structure, Ansible galaxy, vault, roles, templates, modules, ad-hoc cli, and perhaps even shell.",,,,
2016,,,"Aaron J. Scantlin,","fuckin' grindr, duh.",,,,,,
2016,,Scary JavaScript that Tracks You Online,Luke Crouch:,twitter.com/groovecoder,Application Security,"There are over 5,000 online trackers that use cookies, fingerprinting, and probabilistic device matching to follow you across the web. Some methods are actively used for fraud, malware, and intrusive user tracking. Some are commonly used for legit purposes. We'll talk about how sites are able to follow users, tracking methods both fair and foul, and how Mozilla protects users from tracking.",,,,
2016,,Seeing Red: Improving Blue Teams Through Red Teaming,Dave Hull --,"Myspace, GeoCities, AOL. Don't care.",Risk Assessment,"This talk is about red teaming, why you should add it to your security program, what it is and what it isn't. The speaker will share some highlights and lessons learned from his own experiences gained during ""force on force"" engagements in Microsoft's Office 365 and share some practical insights for trying to make it work in other organizations.",https://www.youtube.com/watch?v=mJIce8H6eJ8,20131210,425,https://github.com/hakceracademy/seckc-academy-resources/tree/main/transcripts/Risk-Assessment/mJIce8H6eJ8.txt
2016,,Mentoring the next generation of infosec,John Winger,Twitter,Career Development,Be a Mentor! How to get involved and the benefits a small investment of your personal time can bring to your community.,,,,
2016,,SIEM - There are no Limits!!!,Joe Piggeé Sr.,"linkedin, blogger, Google+",Security Operations,"Security Information and Event Management What a SIEM IS NOT!!!! What is a SIEM? Why Do I need a SIEM,? SIEM - For the SMB-SOHO-DEVOPS-Enterprise-And even the @home!!!! In summary, from a business perspective share best practices for implementing SIEM technology, and highlighting some of the differences between many of the big players in the SIEM arena. The take aways will be: - Understanding of what SIEM is - What a SIEM can do - What to expect of a SIEM - How to get more for less, via a SIEM - Avoid COMMON pitfalls with the deployment and maintenance of a SIEM - Getting return on unseen value of the SIEM - The Power of Business Intelligence - Provide resources, information and discovery for insight for help and training - Common Use-Cases for compliance, and security awareness - SIEM deployment walk-thru, from start to finish",https://www.youtube.com/watch?v=f6GJZCBDyyA,20170110,3092,transcripts/f6GJZCBDyyA.txt
2016,,Social Engineering with Google Analytics,"Tyler Rosonke,",@zonksec,Security Operations > SOC,"If you were viewing your Google Analytics and noticed lots of traffic being refereed to your website from an interesting domain, would you investigate? Wouldn't you be curious as to why this domain linked your website? This sort of curiosity could be used against you! This talk will cover the intricacies of social engineering with Google Analytics and how to perform your very only Google Analytics social engineering attack!",https://www.youtube.com/watch?v=LWqZGXUT680,20170211,950,https://github.com/hakceracademy/seckc-academy-resources/tree/main/transcripts/Security-Operations/SOC/LWqZGXUT680.txt
2016,,"For The Record: SPF, DKIM, and DMARC Records",Caleb Christopher,Anything is fine. No restrictions.,Security Architecture,"TL:DR: Learn what SPF, DKIM, and DMARC records are, what they do, why you should use them for EVERY domain you administer, and how to get started. In this talk, Caleb Christopher (cchristopher on Slack, if you couldn't guess) will discuss how to specify who is authorized to send email on behalf of a domain, how to provide for domain-based (not user-based) email non-repudiation, and how to specify for other mail servers what to do with messages that don't line up with your proof-of-identity requirements. Slide deck will be made public.",https://www.youtube.com/watch?v=30TLngOVwqQ,20170211,2000,transcripts/30TLngOVwqQ.txt
2016,,Tool Talks: netcat,rixon,whatevs,Security Architecture,"This month's tool talk will be on netcat, a simple but versatile network tool.",https://www.youtube.com/watch?v=sbjsg9H74DM,20170110,724,https://github.com/hakceracademy/seckc-academy-resources/tree/main/transcripts/Security-Architecture/sbjsg9H74DM.txt
2016,,Snoring Is Optional - What is Cyber Insurance and does it pay?,Wayne Crowder,Can discuss. It might need to be delayed until Botconf talk is given.,Governance,"Insurance addresses the economics of security on the internet. Cyber insurance is sold to companies as a way to offset the risk and costs of a security incident. Governments, large enterprises and small businesses are purchasing policies to cover risk, recoup costs and recover losses from a cyber incident. This talk will discuss the nature of cyber insurance policies, the different types of policies and what they cover. A breakdown of the companies/industries that are buying policies will be shown. The talk will show the types of attacks organizations are dealing with on a daily basis. Examples from claims made against polices with costs will also be discussed. The talk will provide insight into the economic impact of malware to organizations. It will then inform the attendee about the benefits or pitfalls of a cyber insurance policy with examples of claims, denials and costs.",https://www.youtube.com/watch?v=hN0d_QZGBTc,20170405,1635,transcripts/hN0d_QZGBTc.txt
2016,,Git your NetSecDevOps on.,Gared Seats,twitter - tx149,Application Security,"Ever wonder what ""git"" actually is? 1. You think git is something someone says instead of ""GO AWAY"" 2. You believe it is a completely ignorant, childish person with no manners. 3. Something some would say when they mean ""get it"" but decide to only say one word instead of two. 4. You think it is a version control system that is used for software development and other version control tasks. As a distributed revision control system it is aimed at speed, data integrity, and support for distributed, non-linear workflows. 5. You're just at SecKC for the cool talks and meeting super cool people and saw there was a tool talk on git. If any of that applies to you then this is the talk is for you. We will briefly go over git and how it can be beneficial to you.",https://www.youtube.com/watch?v=ytUJI38V4jc,20150323,982,https://github.com/hakceracademy/seckc-academy-resources/tree/main/transcripts/Application-Security/ytUJI38V4jc.txt
2016,,5 Embedded Windows Security Tools You may not know about,Steven Dietz,Any if interested,Security Operations,"Demonstrate five core security tool utilities useful for both daily and specific Infosec use. These are commands or switches within almost every Windows install useful for forensics, protection or encryption. The utilities allow you to wipe drives, copy files with all metadata (MAC) content or file/folder inspection",https://www.youtube.com/watch?v=WffQdXp22Ek,20150502,829,https://github.com/hakceracademy/seckc-academy-resources/tree/main/transcripts/Security-Operations/WffQdXp22Ek.txt
2016,,Reverse Engineering a Discovered ATM Skimmer,Matty McFatty,@themattymcfatty,Security Operations,"I discovered an ATM skimmer while traveling in Bali. Of course, I had to take it home and take it apart.",https://www.youtube.com/watch?v=hY1UahLSLAQ,20140601,2388,https://github.com/hakceracademy/seckc-academy-resources/tree/main/transcripts/Security-Operations/hY1UahLSLAQ.txt
2017,,This one time I bought a drone,RSAXVC,rsaxvc.net,Security Operations,"I think one of my neighbors must have gotten a drone for christmas, because one recently up to my bedroom window. I found the same model at a hobby shop, bought one, took it home, backdoored it, documented it, cracked it, found how it escaped Mirai but just barely, and designed a $3 ESP8266-based microcontroller interdiction system to prevent video recording near my house.",https://www.youtube.com/watch?v=-ee1N4MRhJE,20170211,1890,transcripts/-ee1N4MRhJE.txt
2017,,,Kloster,twitter: klosnet,,,,,,
2017,,Missouri Innovation Campus-Meeting KC's Talent Needs,Stan Elliott,Twitter....,Career Development,"The Missouri Innovation Campus (MIC) program will be described and it will be illustrated how it meets talent needs in the KC region as the MIC already has 45 corporate partners. Special emphasis will be made on how the engineers and professionals of our partners develop the curriculum for the four MIC programs and the benefit of the 3 year, year round paid internship program that helps to develop our interns and cut training costs for our partners. Students in the MIC receive their BS degree two years after graduating HS!!!",,,,
2017,,Become a Git expert in 10 years or less,Bryan C. Geraghty (@archwisp),All the things.,Career Development,"I will start with the 101 basics and then dive deep into team workflows, release management, and devops",,,,
2017,,Roll your own Amazon Echo with Alexa,Shogo Cottrell,sure,Application Security,"Using a Raspberry Pi, you can build your own Amazon Echo with Alexa voice recognition. Play music, control your lights, get answers to trivia, find out the weather, and more.",,,,
2017,,raspberry pi projects,Skot,@skot85 - nudes accepted,Governance,"DMR hotspot network relay and radio network info display, eink pi display, info on WIP projects",,,,
2017,,Phishing For Homes: A Tragic Tale of Homebuying and Wirefraud,John Stauffacher,https:///twitter.com/g33kspeed,Threat Intelligence,"Ever think somebody could be a phishing victim, and not even have an email account? Let's walk through a recent case of a little old lady who ultimately lost her house, and a large sum of money in a phishing scam, all without ever having an email account. This talk will touch on a novel threat facing the soft target of the Real Estate industry, but could just as easily exist amongst day traders, or anybody transfering large sums of money, all via email.",https://www.youtube.com/watch?v=mm8Wlfh5Pcs,20170405,886,https://github.com/hakceracademy/seckc-academy-resources/tree/main/transcripts/Threat-Intelligence/mm8Wlfh5Pcs.txt
2017,,Introduction to Certificate Transparency,Andy Nelson,https:///twitter.com/anelson425,Governance,Certificate transparency will soon be a mandate in order for your Chrome users. I believe that Firefox and Safari will follow suite shortly after. It is important to understand what it is and what new requirements that are imposed by our browsers. Failing to comply with these new standards will results in our clients not being able to use our applications on the browser/platform of their choice.,https://www.youtube.com/watch?v=w7SJTqGf3LQ,20170501,1273,transcripts/w7SJTqGf3LQ.txt
2017,,Typecasting Villains: Importance of Threat Actor Profiling in your Enterprise,Greg Mathes,none,Threat Intelligence,"The current state of threat intel in the enterprise is in shambles. Management doesn’t know the actual risks to the organization, IR teams are flying blind in incidents, and SOCs have no indication what they should be hunting for. For many years, it was believed that threat actor attribution was both impossible and provided little to no value to most enterprises. But by using threat intel platforms, organizations can provide context to its analysts through the analysis of an actor’s behaviors, motivations, and capabilities. This leads to all stakeholders being better informed of current risks in addition to better predicting the risks they will encounter tomorrow.",https://www.youtube.com/watch?v=DRbRd8eZIik,20170922,1326,https://github.com/hakceracademy/seckc-academy-resources/tree/main/transcripts/Threat-Intelligence/DRbRd8eZIik.txt
2017,,Open Source SIEM Or My Love Hate relationship with Alienvaults OSSIM,Joel Kershner,?,Security Operations,Open Source Security Information Manager OSSIM is an open source SIEM which combines open source threat intel and best of breed open IDS and network along with Vulnerability assessment tools and asset management tools. Like most security focused linux distributions when you peel back the cool web gui you find layers upon layers of duct tape and baling wire but if you have a small or medium sized network its extremly useful.,https://www.youtube.com/watch?v=sjukFKiz_EI,20140815,994,https://github.com/hakceracademy/seckc-academy-resources/tree/main/transcripts/Security-Operations/sjukFKiz_EI.txt
2017,,SMB Cyber Security without Senior Management Backing or Funding,Nathan Maxwell,*,Governance,"Rule 1 of cyber security is have senior management support. In a small business, this can be lacking. What can you do in an SMB environment to move forward the state of information security without C-level support and funding - while not being subversive or insubordinate.",https://www.youtube.com/watch?v=xDt1eAqPJtc,20180109,1443,https://github.com/hakceracademy/seckc-academy-resources/tree/main/transcripts/Governance/xDt1eAqPJtc.txt
2017,,HNSM On the Cheap,Aaron J. Scantlin,Twitter: @sysaaron,Security Operations,"Think home network security monitoring is a costly and time-consuming effort? Think again! With about $50 and a few hours of your time, you can log network events just like your favorite three-letter agencies. This talk will go over the required hardware and software, go through the setup and configuration process process, and provide some starting ideas for events to alert on (with template scripts).",https://www.youtube.com/watch?v=CpvPwO3LkdA,20170918,1649,https://github.com/hakceracademy/seckc-academy-resources/tree/main/transcripts/Security-Operations/CpvPwO3LkdA.txt
2017,,I used the reasonably-secure Qubes OS for 6 months and survived,Matty McFatty,@themattymcfatty,Security Architecture,"Qubes OS sounds cool, but it's a little intimidating to use it as your day-to-day OS. Let me show you around Qubes OS a little and take away some of the mystery. I'll show you the basics of using Qubes OS and discuss some of the pros and cons.",https://www.youtube.com/watch?v=sbN5Bz3v-uA,20180109,1116,https://github.com/hakceracademy/seckc-academy-resources/tree/main/transcripts/Security-Architecture/sbN5Bz3v-uA.txt
2017,,Occupational Fraud Trends,Steven Haenchen,none,Governance,Occupational Fraud Trends per the ACFE Report to the Nations on Occupational Fraud 2016 with a discussion of what they mean to us and what we can do to help prevent occupational fraud.,https://www.youtube.com/watch?v=vYC76-8mCnQ,20180109,1736,https://github.com/hakceracademy/seckc-academy-resources/tree/main/transcripts/Governance/vYC76-8mCnQ.txt
2017,,Introduction to programming with GoLang,Cory Kennedy,@CoryKennedy,Application Security,"[work in progress, I may update this] - Many of us use python to solve our programming[strikeout], scripting needs. In this talk I am going to show you how to solve the same problems with a new language that may just make your life easier. Why should you learn GoLang? Malware authors have begun to use Go so why haven't you?",,,,
2017,,OWASP SAMM and other Software Security Assurance Frameworks,August Johnson,Carrier Pigeon,Application Security,"Software is cruddy. These tools help to make it better. This will be a review of various software security assurance tools, and a more in-depth look at the OWASP SAMM, what you can adopt, and how it can benefit coders, and really, anyone who uses the software.",https://www.youtube.com/watch?v=zNPnw_DalCQ,20180109,2561,https://github.com/hakceracademy/seckc-academy-resources/tree/main/transcripts/Application-Security/zNPnw_DalCQ.txt
2017,,BLE scanning with BLE Scanner,rsaxvc,rsaxvc.net,Security Operations,"I'll show off a simple tool fr BLE hacking on the go, and own a few willing participants devices.",https://www.youtube.com/watch?v=j9PoE-Ry3Vs,20141231,859,https://github.com/hakceracademy/seckc-academy-resources/tree/main/transcripts/Security-Operations/j9PoE-Ry3Vs.txt
2017,,,Ryan awsm Preston,https:///twitter.com/h3xg4m3s  @h3xg4m3s,,,,,,
2017,,Why (and how) we phish our users and why you should too,Julie Fugett Shane Fonyi,TBD,User Education,"After a phishing incident that resulted in direct deposit theft, we realized we needed to take a more aggressive approach to educating our users about social engineering and phishing. With the expenditure of some political capital and a cash outlay of less than $10, here's how and why we did it.",,,,
2017,,Hardware Hacking: Basic Intro to Oscilloscoping,RSAXVC,rsaxvc.net,Physical Security,"Learn the basics of examining circuit boards, identifying bus voltage, serial format, and baud rate with a oscilloscope hooked up to the SecKC projector. We'll start with care and feeding, then look at some synthetic signals, then move on to identifying a serial port on an embedded Linux computer, figuring out it's pinout and baud rate, then connecting to it.",https://www.youtube.com/watch?v=ti0AoZ46wNg,20180111,1256,https://github.com/hakceracademy/seckc-academy-resources/tree/main/transcripts/Physical-Security/ti0AoZ46wNg.txt
2017,,Intermediate Reverse Engineering Lesson: FLARE-ON IgniteMe.exe,Archwisp / Bryan C. Geraghty,https:///twitter.com/archwisp,Security Operations,"You saw Cory's 101 talk on reversing (https://www.youtube.com/watch?v=Fr7xC8_FHgs) and you wanted to learn more. So you picked up some books poked around a bit at some CTFs but still don't really understand what's going on. Well, that's about to change. In this talk, we're going to walk through how to solve the FLARE-ON CTF: IgniteMe reverse engineering challenge from September of 2017. Ultimately, you will learn the solution to the challenge, but the real goal of this talk is to teach you the background, techniques, and tools you would need to know in order to solve a challenge like this. This is going to be a really deep technical dive but we'll make sure to have lots of fun along the way!",https://www.youtube.com/watch?v=js323csYbts,20180518,3482,https://github.com/hakceracademy/seckc-academy-resources/tree/main/transcripts/Security-Operations/js323csYbts.txt
2017,,(may change) How to make them care: Communicating successfully with executives,Caleb Christopher,Don't care.,Governance,"Why do executives always shoot down your proposal? You've chosen the best solution for a given problem or gap... Learn about how to transform not only your presentation style, but to rethink your approach to choosing solutions so you will be more likely get a positive response. It may seem less glamorous, but it sure is more satisfying. (Just the) pro tip: They don't care about the features--they're running a business, not a tech fair showcase.",https://www.youtube.com/watch?v=VdpNGARozAg,20150323,278,https://github.com/hakceracademy/seckc-academy-resources/tree/main/transcripts/Governance/VdpNGARozAg.txt
2017,,Mimikatz: I can has pazzwords?,Dusty Evanoff,your mama,Security Operations,"This is an introduction to Mimikatz for the uninitiated. I'll show you how to steal Windows passwords (and other secrets) like a boss as well as how to bypass common defenses. Then, we'll discuss how to minimize the damage caused by credential theft, and talk about how you can detect it on your own network.",https://www.youtube.com/watch?v=aJuVp9ptFew,20180218,2697,https://github.com/hakceracademy/seckc-academy-resources/tree/main/transcripts/Security-Operations/aJuVp9ptFew.txt
2017,,Attacking Active D - A Hacking Series pt.2,Ryan Preston,@h3xg4m3s,Risk Assessment,The second in a series of talks explaining and demonstrating modern attacks on Active Directory. During this presentation I will further cover Bloodhound and various other tools used in the reconnaissance phase of pentesting Active Directory.,https://www.youtube.com/watch?v=iWDyzwcSZSs,20180109,2030,https://github.com/hakceracademy/seckc-academy-resources/tree/main/transcripts/Risk-Assessment/iWDyzwcSZSs.txt
2018,,Opportunistically Exploiting Vulnerabilities,Alex Lauerman,alexlauerman,Security Operations,"If you scan for it, it will be there. Identifying vulnerabilities at scale is easy. We'll go through some of the techniques and challenges of finding vulnerabilities at scale. This talk should be useful to those tasked with protecting large networks. Attendees will also gain perspective on how easy it is for a real attackers, and why we are losing at securing the internet from large scale attacks like the mirai botnet.",,,,
2018,,How to build a rogue GSM station for fun..and profit?,Sampson Chandler,"youtube, casual encounters, and backpage",Security Operations,"A brief look into how cellphones talk to each other, how this can be attacked, how to protect yourself, and why this technology should be improved.",,,,
2018,,Global Admin - You won't believe how broken the internet is.,Ryan Preston,https:///twitter.com/h3xg4m3s,Security Operations,"I'm inside your network. I've weaponized the(every) browser. If you use the internet, I've got you. There is a universal feature that lets me (and a lot of other people) inside your network without you ever knowing. You won't see it, you can't stop it. Harvesting credit cards and passwords was only the beginning, now I've got code execution _on_the_inside_.",https://www.youtube.com/watch?v=CgTfw_2W0yM,20180814,2040,https://github.com/hakceracademy/seckc-academy-resources/tree/main/transcripts/Security-Operations/CgTfw_2W0yM.txt
2018,,The Security of Internet-Connected Dongs,Katie Bratman and Shane Fonyi,@shanef,Security Operations,"As technology advances, more and more opportunities to interact with the digital world via the internet arises. Many people who use these devices, that are apart of the Internet of Things, do not often question the confidentiality or integrity of the devices they purchase. In a lot of cases, getting your internet-connected toaster compromised might only lead to burnt toast and minor scaring, but the same cannot be said for some other devices. Since the internet is for porn, it is only natural for devices to be created to support that philosophy. Our research into a couple of these devices, dubbed The Internet of Dongs, surfaced some interesting and scary results. Join us as we take a deep dive into the vast world of IoD and learn just how personal these devices can be. We will show just how simple it is to locate and compromise a bluetooth-connected device and how insecure your data could be.",,,,
2018,,Primer on Car Hacking,rixon,twitter: @rixon,Security Operations,This will be an introduction to car hacking.,https://www.youtube.com/watch?v=Gbf2XjreVzU,20180814,2701,https://github.com/hakceracademy/seckc-academy-resources/tree/main/transcripts/Security-Operations/Gbf2XjreVzU.txt
2018,,The Art of Detection,Matt Clemons / Cisco,https:///www.subnetzero.net,Security Operations,Labbing up some popular attack tools and defending against them. Gathering indicators of compromise and making them actionable.,https://www.youtube.com/watch?v=fRhtaYAQRtE,20180922,1341,https://github.com/hakceracademy/seckc-academy-resources/tree/main/transcripts/Security-Operations/fRhtaYAQRtE.txt
2018,,So you wanna build a Security Lab?,Gared Seats,www.linkedin.com/in/gared-seats,Security Architecture,"Have you ever wanted a lab or development setup, so you can try things, test things, figure out problems or just have a great time? This session covers the basics or setting up a great lab environment without breaking the bank. We know budgets are tight for businesses or home. This session will show you how to set up a quality build that will last a while for you. We’ll also go over some software recommendations and scenarios for how to use and deploy this system. (Bonus – an actual mobile lab system will be at the session so you can see it in person.)",,,,
